problem_size,condition_number,matrix_type,method,iterations,time,final_residual,relative_error
5000,100.0,Banded,PCG (Jacobi),819,17.26191763486713,3.246985193542528e-05,2.1713517963408358e-07
5000,100.0,Banded,"PCG (Jacobi, SciPy)",808,24.269057081080973,2.8283472208487434e-05,2.209356595225331e-07
5000,100.0,Banded,PCG (Inverse),1,3.7371206087991595,2.6520677077160017e-11,3.3020974952708233e-13
5000,100.0,Banded,"PCG (Inverse, SciPy)",2,0.029326668940484524,2.6520677077160017e-11,3.3020974952708233e-13
5000,10000.0,SPD Dense,Gaussian Elimination,0,1.7303946241736412,2.0533185493091674e-10,4.840166947869928e-13
5000,10000.0,SPD Dense,Steepest Descent,10001,86.38705276185647,2.4083685606364074,0.020203621996042004
5000,10000.0,SPD Dense,CG (Custom),667,5.7584830722771585,0.0015104513344857805,1.539296476164466e-06
5000,10000.0,SPD Dense,CG (SciPy),666,11.285307397134602,0.0015096653780167246,1.5553950558020622e-06
5000,10000.0,SPD Dense,PCG (Jacobi),595,12.513992140069604,0.001606989313078436,1.5121276943387378e-06
5000,10000.0,SPD Dense,"PCG (Jacobi, SciPy)",593,17.56098867673427,0.001618725739542075,1.5843186471533185e-06
5000,10000.0,SPD Dense,PCG (Inverse),1,3.6252476791851223,5.601367107189938e-08,1.0619560137942533e-12
5000,10000.0,SPD Dense,"PCG (Inverse, SciPy)",2,0.03372318809852004,5.601379534618231e-08,1.0619560137942533e-12
5000,10000.0,Banded,Gaussian Elimination,0,1.8689755527302623,1.3264970375096028e-10,3.574625774709384e-15
5000,10000.0,Banded,Steepest Descent,10001,86.96066080406308,2.44281227477892e+24,9.562243293392398e+20
5000,10000.0,Banded,CG (Custom),1001,8.81391879497096,0.0017916899332042569,1.157813637371792e-06
5000,10000.0,Banded,CG (SciPy),1001,17.224766673054546,0.0018617009478171208,1.183968978244809e-06
5000,10000.0,Banded,PCG (Jacobi),68,1.523123370949179,0.0014353633905691188,2.720689569964332e-06
5000,10000.0,Banded,"PCG (Jacobi, SciPy)",68,2.014837699010968,0.0014560500442268908,2.908010565272471e-06
5000,10000.0,Banded,PCG (Inverse),1,3.6385791562497616,1.0582821479606371e-10,1.7474155047617556e-14
5000,10000.0,Banded,"PCG (Inverse, SciPy)",2,0.030600658617913723,1.0582821479606371e-10,1.7474155047617556e-14
5000,1000000.0,SPD Dense,Gaussian Elimination,0,5.437088516075164,1.6210187353085857e-08,2.9437094034893684e-11
5000,1000000.0,SPD Dense,Steepest Descent,10001,110.76822077622637,655.8043359521147,0.4435613351487408
5000,1000000.0,SPD Dense,CG (Custom),4769,48.571401624940336,0.13262547653453485,5.2426333580194604e-05
5000,1000000.0,SPD Dense,CG (SciPy),4727,102.32735020527616,0.13344772955524903,5.2345159069376555e-05
5000,1000000.0,SPD Dense,PCG (Jacobi),4344,114.80386625602841,0.13282654998103816,4.729444223254403e-05
5000,1000000.0,SPD Dense,"PCG (Jacobi, SciPy)",4309,162.99992742296308,0.12795770019392985,4.737623553232227e-05
5000,1000000.0,SPD Dense,PCG (Inverse),1,4.023810455109924,0.0003230067661273193,1.1007988486020484e-10
5000,1000000.0,SPD Dense,"PCG (Inverse, SciPy)",2,0.034530952107161283,0.00032300658183338456,1.1007988486020484e-10
5000,1000000.0,Banded,Gaussian Elimination,0,1.8324277736246586,9.711456331317971e-09,1.6694491216161657e-15
5000,1000000.0,Banded,Steepest Descent,10001,91.18057419685647,687.9190344781572,0.2501115300044593
5000,1000000.0,Banded,CG (Custom),4938,43.95274820085615,0.14357411715511123,2.1600845689581616e-05
5000,1000000.0,Banded,CG (SciPy),4647,81.54479309404269,0.14294912261497517,2.273797382396503e-05
5000,1000000.0,Banded,PCG (Jacobi),27,0.6550606642849743,0.12312235290677934,9.874442842586307e-05
5000,1000000.0,Banded,"PCG (Jacobi, SciPy)",28,0.878710466902703,0.12312235292431443,9.874442842586307e-05
5000,1000000.0,Banded,PCG (Inverse),1,3.6525528891943395,7.2783043700943406e-09,1.648925781331665e-15
5000,1000000.0,Banded,"PCG (Inverse, SciPy)",2,0.03210593108087778,7.2783043700943406e-09,1.648925781331665e-15
